year,region_code,region_name,carrier,conso_totale_mwh,nb_sites,habitants
2020,32,Hauts-de-France,Gaz,67340393.99201,1440001.0,
2020,44,Grand Est,Electricité,38709626.85163701,3255250.0,
2020,44,Grand Est,Gaz,65583299.4135,1176412.0,
2020,52,Pays de la Loire,Electricité,23701292.940252338,2290345.0,
2020,52,Pays de la Loire,Gaz,22204915.798210002,631316.0,
2020,53,Bretagne,Electricité,20759196.53654574,2158908.0,
2020,53,Bretagne,Gaz,15611552.527490001,522199.0,
2020,75,Nouvelle-Aquitaine,Electricité,36756460.04574292,3951797.0,
2020,75,Nouvelle-Aquitaine,Gaz,25731483.8839816,1027909.0,
2020,76,Occitanie,Electricité,33258752.95287129,4040620.0,
2020,76,Occitanie,Gaz,17884022.5298028,899082.0,
2020,84,Auvergne-Rhône-Alpes,Electricité,57137018.80741501,5117757.0,
2020,84,Auvergne-Rhône-Alpes,Gaz,48409877.06624,1372752.0,
2020,93,Provence-Alpes-Côte d'Azur,Electricité,34557411.6684902,3534976.0,
2020,93,Provence-Alpes-Côte d'Azur,Gaz,41523114.88252,712604.0,
2020,94,Corse,Electricité,1892269.429,263747.0,
2021,1,Guadeloupe,Electricité,1450463.276,213697.0,
2021,2,Martinique,Electricité,1369023.1409999998,199681.0,
2021,3,Guyane,Electricité,835706.576,74237.0,
2021,4,La Réunion,Electricité,2819409.656,408394.0,
2021,6,Mayotte,Electricité,342678.332416,49142.0,
2021,11,Île-de-France,Electricité,64572933.02176828,6762057.0,
2021,11,Île-de-France,Gaz,75295639.371113,2516732.0,
2021,24,Centre-Val de Loire,Electricité,17012598.00493373,1572014.0,
2021,24,Centre-Val de Loire,Gaz,15229323.325862,450430.0,
2021,27,Bourgogne-Franche-Comté,Electricité,19247790.85506622,1774371.0,
2021,27,Bourgogne-Franche-Comté,Gaz,20285225.228026,507763.0,
2021,28,Normandie,Electricité,24835374.992381155,2029475.0,
2021,28,Normandie,Gaz,40124496.888195,541254.0,
2021,32,Hauts-de-France,Electricité,43907363.58631218,3196036.0,
2021,32,Hauts-de-France,Gaz,71260421.017129,1446176.0,
2021,44,Grand Est,Electricité,41295938.23962041,3285241.0,
2021,44,Grand Est,Gaz,72577421.060187,1183405.0,
2021,52,Pays de la Loire,Electricité,24603481.99339488,2327300.0,
2021,52,Pays de la Loire,Gaz,23101985.464798998,637072.0,
2021,53,Bretagne,Electricité,21716649.555675805,2195872.0,
2021,53,Bretagne,Gaz,17251816.615986,530109.0,
2021,75,Nouvelle-Aquitaine,Electricité,38609238.977769755,4003978.0,
2021,75,Nouvelle-Aquitaine,Gaz,28136479.6463186,1030664.0,
2021,76,Occitanie,Electricité,34821030.36792521,4100598.0,
2021,76,Occitanie,Gaz,19269087.3930662,902087.0,
2021,84,Auvergne-Rhône-Alpes,Electricité,60474285.5591103,5192785.0,
2021,84,Auvergne-Rhône-Alpes,Gaz,52084531.332258,1382956.0,
2021,93,Provence-Alpes-Côte d'Azur,Electricité,36259643.07805337,3584678.0,
2021,93,Provence-Alpes-Côte d'Azur,Gaz,38515688.159922004,706083.0,
2021,94,Corse,Electricité,2021992.5320000001,260638.0,
2022,1,Guadeloupe,Electricité,1446555.8730000001,230032.0,
2022,2,Martinique,Electricité,1375652.5920000002,209458.0,
2022,3,Guyane,Electricité,824929.754,79287.0,
2022,4,La Réunion,Electricité,2845078.4420000003,422838.0,
2022,6,Mayotte,Electricité,352454.287,51135.0,
2022,11,Île-de-France,Electricité,61938288.190146,6829813.0,
2022,11,Île-de-France,Gaz,61793906.17374897,2484163.0,
2022,24,Centre-Val de Loire,Electricité,16232111.053778,1582125.0,
2022,24,Centre-Val de Loire,Gaz,13393793.108875997,463369.0,
2022,27,Bourgogne-Franche-Comté,Electricité,18175606.78204,1779725.0,
2022,27,Bourgogne-Franche-Comté,Gaz,16720382.85206,503618.0,
2022,28,Normandie,Electricité,23454496.25651,2042443.0,
2022,28,Normandie,Gaz,37474520.26470399,541526.0,
2022,32,Hauts-de-France,Electricité,41450183.079945,3220234.0,
2022,32,Hauts-de-France,Gaz,66935426.987162985,1444021.0,
2022,44,Grand Est,Electricité,39339940.837899,3299578.0,
2022,44,Grand Est,Gaz,68876841.44093,1182279.0,
2022,52,Pays de la Loire,Electricité,23742937.699402,2355605.0,
2022,52,Pays de la Loire,Gaz,19095069.450113997,639523.0,
2022,53,Bretagne,Electricité,20537124.644484002,2222770.0,
2022,53,Bretagne,Gaz,20036287.155673,534441.0,
2022,75,Nouvelle-Aquitaine,Electricité,37015113.122267,4046421.0,
2022,75,Nouvelle-Aquitaine,Gaz,24760930.0465668,1027699.0,
2022,76,Occitanie,Electricité,34100341.240453,4150502.0,
2022,76,Occitanie,Gaz,16926046.4856332,897535.0,
2022,84,Auvergne-Rhône-Alpes,Electricité,88004914.159234,5255652.0,
2022,84,Auvergne-Rhône-Alpes,Gaz,45693979.837712996,1378189.0,
